"","AMD.returns","CDNS.returns","CPRT.returns","ETSY.returns","IDXX.returns","MSCI.returns","NVDA.returns","PAYC.returns","SNPS.returns","WST.returns"
"AMD.returns",0.00168213831290743,0.000333198651098901,0.000220807075884271,0.000362440512321224,0.000252559919015078,0.000300594506214006,0.000652354461432984,0.000403574234529398,0.000305102303851372,0.000234974702472811
"CDNS.returns",0.000333198651098901,0.00037114105975491,0.000176136544443031,0.000271582745547158,0.000209000631914236,0.000244578655550628,0.000333939875737676,0.00030523992102238,0.000268837957419045,0.000162671307087033
"CPRT.returns",0.000220807075884271,0.000176136544443031,0.000325508242590513,0.000210222335363279,0.000145538326614775,0.000177214322319506,0.000227497638481268,0.000256828892568942,0.000169669114364534,0.00011257856031722
"ETSY.returns",0.000362440512321224,0.000271582745547158,0.000210222335363279,0.00123109648892031,0.000263259036676299,0.000256295559594438,0.000368632994254845,0.000384476232648816,0.000254204768468811,0.000196964044429251
"IDXX.returns",0.000252559919015078,0.000209000631914236,0.000145538326614775,0.000263259036676299,0.000357744704734758,0.000212877030394769,0.000265087246509003,0.000239211161377841,0.000189994707849773,0.000159590953836653
"MSCI.returns",0.000300594506214006,0.000244578655550628,0.000177214322319506,0.000256295559594438,0.000212877030394769,0.000384073765845339,0.000303949284030333,0.000310360330227144,0.000213675400448089,0.00016088118389971
"NVDA.returns",0.000652354461432984,0.000333939875737676,0.000227497638481268,0.000368632994254845,0.000265087246509003,0.000303949284030333,0.000894566413277422,0.000399425643882335,0.000310097902149613,0.000203924671208938
"PAYC.returns",0.000403574234529398,0.00030523992102238,0.000256828892568942,0.000384476232648816,0.000239211161377841,0.000310360330227144,0.000399425643882335,0.000804272863682122,0.000288316846151037,0.000188770211180708
"SNPS.returns",0.000305102303851372,0.000268837957419045,0.000169669114364534,0.000254204768468811,0.000189994707849773,0.000213675400448089,0.000310097902149613,0.000288316846151037,0.00028547408778396,0.000147861276052112
"WST.returns",0.000234974702472811,0.000162671307087033,0.00011257856031722,0.000196964044429251,0.000159590953836653,0.00016088118389971,0.000203924671208938,0.000188770211180708,0.000147861276052112,0.00029646111103968
