,weights
A.returns,0.013815918
AAL.returns,-0.158779447
AAP.returns,-0.10100415
AAPL.returns,-0.259073152
ABBV.returns,-0.029450192
ABC.returns,0.348046466
ABT.returns,0.183501114
ACN.returns,-0.155793706
ADBE.returns,0.029283526
ADI.returns,-0.024250463
ADM.returns,0.047450636
ADP.returns,-0.035102928
ADSK.returns,0.084157409
AEE.returns,-0.294808159
AEP.returns,0.085606261
AES.returns,0.325528459
AFL.returns,0.012779396
AIG.returns,-0.278204887
AIZ.returns,0.071629182
AJG.returns,0.583741292
AKAM.returns,0.126267232
ALB.returns,0.050700902
ALGN.returns,0.024689992
ALK.returns,-0.049668706
ALL.returns,-0.070383071
ALLE.returns,-0.039330746
AMAT.returns,-0.059016702
AMCR.returns,0.080645479
AMD.returns,-0.008289355
AME.returns,-0.317018984
AMGN.returns,0.047520614
AMP.returns,0.087501355
AMT.returns,0.354023317
AMZN.returns,0.166450566
ANET.returns,-0.088286526
ANSS.returns,-0.016617309
AON.returns,-0.169774724
AOS.returns,-0.252531829
APA.returns,0.096775815
APD.returns,-0.052856632
APH.returns,-0.257922574
APTV.returns,-0.173476873
ARE.returns,0.360597288
ATO.returns,-0.042625127
ATVI.returns,0.021838273
AVB.returns,-0.487071599
AVGO.returns,0.148518976
AVY.returns,0.215582336
AWK.returns,0.166770388
AXP.returns,0.104579599
AZO.returns,0.296276427
BA.returns,0.047511924
BAC.returns,0.191501736
BALL.returns,-0.128780627
BAX.returns,0.109376895
BBWI.returns,-0.10367368
BBY.returns,-0.054293778
BDX.returns,-0.048179436
BEN.returns,0.110917341
BF.B.returns,0.137502059
BIIB.returns,-0.100223095
BIO.returns,0.087264716
BK.returns,-0.078887153
BKNG.returns,0.117565959
BKR.returns,0.013976546
BLK.returns,-0.049890122
BMY.returns,-0.116091053
BR.returns,0.251955868
BRK.B.returns,-0.426741437
BSX.returns,-0.320138667
BWA.returns,-0.033144024
BXP.returns,0.040039989
C.returns,0.067374597
CAG.returns,0.049831851
CAH.returns,-0.124803625
CAT.returns,0.132144638
CB.returns,0.305842827
CBOE.returns,-0.083701057
CBRE.returns,0.014603787
CCI.returns,-0.017171041
CCL.returns,0.087676858
CDNS.returns,-0.135872109
CDW.returns,0.127808311
CE.returns,0.188208513
CF.returns,-0.128728643
CFG.returns,0.046408737
CHD.returns,0.186566679
CHRW.returns,-0.018346004
CHTR.returns,0.274128546
CI.returns,-0.186702788
CINF.returns,-0.07573972
CL.returns,-0.059635745
CLX.returns,-0.038286236
CMA.returns,0.104690375
CMCSA.returns,0.057556895
CME.returns,0.021831503
CMG.returns,-0.016060623
CMI.returns,0.169882421
CMS.returns,0.426733559
CNC.returns,-0.062421407
CNP.returns,0.049687027
COF.returns,-0.08929132
COO.returns,0.060839372
COP.returns,-0.055194163
COST.returns,0.09405176
CPB.returns,-0.025807173
CPRT.returns,0.38349446
CRM.returns,-0.211570496
CSCO.returns,0.0564444
CSX.returns,0.074813586
CTAS.returns,0.178762246
CTLT.returns,0.020885656
CTRA.returns,-0.060526595
CTSH.returns,-0.027253101
CVS.returns,0.003418137
CVX.returns,-0.02424509
D.returns,-0.403405197
DAL.returns,-0.089915589
DD.returns,-0.183604447
DE.returns,0.23074059
DFS.returns,0.010865361
DG.returns,0.18131414
DGX.returns,0.142654254
DHI.returns,-0.030820047
DHR.returns,0.143315869
DIS.returns,-0.088983071
DISH.returns,-0.090455315
DLR.returns,-0.031512764
DLTR.returns,-0.017807481
DOV.returns,-0.081406327
DPZ.returns,0.144449059
DRI.returns,0.139169004
DTE.returns,0.153269791
DUK.returns,0.067468744
DVA.returns,0.080689237
DVN.returns,-0.037716726
DXC.returns,0.09634479
DXCM.returns,0.038558127
EA.returns,-0.165698232
EBAY.returns,0.079333943
ECL.returns,-0.388268658
ED.returns,0.029980007
EFX.returns,0.101116218
EIX.returns,0.118176782
EL.returns,0.095728142
ELV.returns,0.075856624
EMN.returns,0.169001649
EMR.returns,0.219479169
EOG.returns,-0.18268478
EQIX.returns,-0.072289447
EQR.returns,0.016325831
ES.returns,-0.211595255
ESS.returns,0.035124563
ETN.returns,-0.134073875
ETR.returns,-0.015397371
ETSY.returns,0.066674878
EVRG.returns,-0.116882712
EW.returns,0.072151343
EXC.returns,-0.234871056
EXPD.returns,0.105915184
EXPE.returns,-0.071802301
EXR.returns,0.239251525
F.returns,-0.082259207
FANG.returns,0.142700441
FAST.returns,0.068750543
FCX.returns,-0.04845676
FDX.returns,-0.101765928
FE.returns,-0.179258641
FFIV.returns,0.00105109
FIS.returns,0.114714185
FISV.returns,-0.034830076
FITB.returns,0.047119911
FLS.returns,-0.153075309
FLT.returns,-0.094317867
FMC.returns,0.118540154
FRT.returns,-0.406986178
FTI.returns,-0.025208969
FTNT.returns,-0.038483904
GD.returns,-0.553712672
GE.returns,-0.086686141
GEN.returns,0.099354021
GILD.returns,-0.163955474
GIS.returns,0.171154143
GL.returns,0.218707411
GLW.returns,0.04091616
GM.returns,0.193536594
GOOG.returns,1.288587441
GOOGL.returns,-1.345281313
GPC.returns,0.044541678
GPN.returns,0.039463392
GRMN.returns,0.196074314
GS.returns,-0.151174283
GWW.returns,0.13747657
HAL.returns,-0.029841886
HAS.returns,-0.046084161
HBAN.returns,0.01694102
HBI.returns,0.042601373
HCA.returns,0.333420664
HD.returns,0.044567112
HES.returns,0.162400269
HIG.returns,-0.025819037
HII.returns,-0.030426646
HLT.returns,-0.075164919
HOLX.returns,-0.320261262
HON.returns,0.40375235
HPE.returns,0.052996177
HPQ.returns,0.024279896
HRL.returns,-0.059833247
HSIC.returns,0.046682808
HST.returns,-0.064751718
HSY.returns,0.018283748
HUM.returns,-0.06188836
IBM.returns,-0.040618793
ICE.returns,0.034161548
IDXX.returns,-0.135047397
IEX.returns,0.37601086
IFF.returns,-0.191627705
ILMN.returns,-0.041416343
INCY.returns,-0.149829981
INTC.returns,-0.264372246
INTU.returns,-0.129967153
IP.returns,-0.151711997
IPG.returns,-0.04374966
IPGP.returns,0.125259546
IQV.returns,-0.167521353
IRM.returns,0.005406778
ISRG.returns,0.125157013
IT.returns,-0.151118002
ITW.returns,0.009367625
IVZ.returns,-0.218123926
J.returns,-0.098245205
JBHT.returns,-0.168778524
JCI.returns,0.124541395
JKHY.returns,-0.267968213
JNJ.returns,0.1303623
JNPR.returns,-0.420820594
JPM.returns,0.489209222
K.returns,-0.106103311
KEY.returns,-0.311512281
KEYS.returns,0.176194615
KHC.returns,0.077795879
KIM.returns,0.230516904
KLAC.returns,-0.255330581
KMB.returns,-0.333657195
KMI.returns,-0.071288991
KMX.returns,-0.090017606
KO.returns,0.217124317
KR.returns,-0.117682224
L.returns,-0.264001742
LDOS.returns,0.105616036
LEN.returns,-0.151519057
LH.returns,-0.403541607
LHX.returns,0.08271742
LIN.returns,0.137556118
LKQ.returns,-0.138159871
LLY.returns,0.445963116
LMT.returns,-0.239128773
LNC.returns,0.328464779
LNT.returns,0.179164946
LOW.returns,-0.070839226
LRCX.returns,0.135718428
LUMN.returns,0.071640211
LUV.returns,0.11479826
LVS.returns,-0.110877139
LYB.returns,0.012272081
LYV.returns,0.054970996
MA.returns,0.027546835
MAA.returns,0.11611652
MAR.returns,0.207902594
MAS.returns,-0.101281595
MCD.returns,0.154963817
MCHP.returns,-0.108326647
MCK.returns,0.056507505
MCO.returns,-0.325047991
MDLZ.returns,-0.111451177
MDT.returns,-0.242801068
MET.returns,0.083015335
META.returns,-0.093589759
MGM.returns,-0.018229057
MHK.returns,-0.079544715
MKC.returns,0.100989659
MKTX.returns,0.088227365
MLM.returns,0.478580858
MMC.returns,-0.23934362
MMM.returns,-0.115732123
MNST.returns,-0.042821239
MO.returns,-0.164627604
MOS.returns,0.079064881
MPC.returns,-0.135079111
MRK.returns,0.04590883
MRO.returns,-0.057787117
MS.returns,0.293160108
MSCI.returns,0.093079156
MSFT.returns,0.042164432
MSI.returns,0.004134931
MTB.returns,0.004421057
MTD.returns,0.20523495
MU.returns,0.173257768
NCLH.returns,0.007007715
NDAQ.returns,-0.099628604
NEE.returns,0.392607348
NEM.returns,0.064978324
NFLX.returns,0.046471606
NI.returns,-0.117090626
NKE.returns,-0.031146855
NOC.returns,0.230717775
NOV.returns,0.00733452
NOW.returns,-0.077379613
NRG.returns,-0.081198059
NSC.returns,-0.087454932
NTAP.returns,-0.01654044
NTRS.returns,-0.087968656
NUE.returns,-0.233103936
NVDA.returns,0.030810194
NVR.returns,0.03994712
NWL.returns,-0.066609556
NWS.returns,-0.512792078
NWSA.returns,0.430445184
O.returns,0.02282215
ODFL.returns,0.078229798
OKE.returns,0.150426465
OMC.returns,0.181822042
ORCL.returns,-0.133924677
ORLY.returns,-0.187277943
OXY.returns,-0.137715962
PARA.returns,-0.011211026
PAYC.returns,0.113556809
PAYX.returns,-0.353010867
PCAR.returns,0.038110351
PCG.returns,-0.032189836
PEAK.returns,-0.050491871
PEG.returns,-0.057382568
PEP.returns,0.123998698
PFE.returns,-0.041417061
PFG.returns,-0.07475682
PG.returns,0.354110662
PGR.returns,0.180430163
PH.returns,0.046646711
PHM.returns,0.151188166
PKG.returns,0.491036979
PKI.returns,0.141331268
PLD.returns,-0.07688565
PM.returns,0.203846519
PNC.returns,0.089806853
PNR.returns,-0.185895618
PNW.returns,-0.279848621
POOL.returns,0.119464602
PPG.returns,-0.303399487
PPL.returns,0.132652378
PRGO.returns,-0.082594204
PRU.returns,-0.452755598
PSA.returns,-0.311351057
PSX.returns,0.055072889
PVH.returns,0.263369087
PWR.returns,0.303421211
PXD.returns,0.072515376
PYPL.returns,0.123550594
QCOM.returns,0.079529838
QRVO.returns,0.069987757
RCL.returns,-0.091362347
RE.returns,0.066781021
REG.returns,0.240803649
REGN.returns,-0.101897139
RF.returns,0.333385856
RHI.returns,-0.16490884
RJF.returns,-0.27683501
RL.returns,-0.099799446
